id,session_id,group_id,stage,action,trigger_source,message,hint,scaffolds,metrics_snapshot_json,form_snapshot_json,created_at
decision-0000,synthetic-session,group-01,0,scaffold,idle,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt smooth"", ""thinkBox"": """"}",2026-01-01T09:06:14+00:00
decision-0001,synthetic-session,group-01,0,scaffold,idle,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 2.""]","{""source"": ""llm"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt smooth"", ""thinkBox"": """"}",2026-01-01T09:12:52+00:00
decision-0002,synthetic-session,group-01,0,scaffold,help_click,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""llm"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 4 felt sticky"", ""thinkBox"": """"}",2026-01-01T09:19:25+00:00
decision-0003,synthetic-session,group-01,1,scaffold,help_click,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt sticky"", ""thinkBox"": """"}",2026-01-01T09:25:24+00:00
decision-0004,synthetic-session,group-01,1,scaffold,next_click,try describing sample 4 in your own words,compare two samples side by side,"[""I noticed ____ about sample 3.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt coarse"", ""thinkBox"": """"}",2026-01-01T09:27:01+00:00
decision-0005,synthetic-session,group-01,1,scaffold,idle,try describing sample 2 in your own words,,"[""I noticed ____ about sample 3.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 2 felt smooth"", ""thinkBox"": """"}",2026-01-01T09:32:04+00:00
decision-0006,synthetic-session,group-01,2,redirect,idle,"keep going, you are doing well",compare two samples side by side,"[""I noticed ____ about sample 4.""]","{""source"": ""fallback"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt coarse"", ""thinkBox"": """"}",2026-01-01T09:35:32+00:00
decision-0007,synthetic-session,group-01,2,scaffold,help_click,try describing sample 2 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 1, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt sticky"", ""thinkBox"": """"}",2026-01-01T09:38:09+00:00
decision-0008,synthetic-session,group-01,2,scaffold,help_click,try describing sample 1 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt sticky"", ""thinkBox"": """"}",2026-01-01T09:44:43+00:00
decision-0009,synthetic-session,group-01,3,probe,help_click,try describing sample 3 in your own words,compare two samples side by side,"[""I noticed ____ about sample 1.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 3 felt sticky"", ""thinkBox"": """"}",2026-01-01T09:46:00+00:00
decision-0010,synthetic-session,group-01,3,probe,help_click,try describing sample 2 in your own words,,"[""I noticed ____ about sample 2.""]","{""source"": ""local"", ""coreFilled"": 2, ""coreTotal"": 4}","{""seeBox"": ""sample 1 felt coarse"", ""thinkBox"": """"}",2026-01-01T09:49:34+00:00
